Star,Kerb Weight,Active Bonnet,Lane Assist System,AEB Pedestrian,Center Airbag,Side Pelvis Airbag,Side Chest Airbag,Belt Pretensioner,Knee Airbag
1,1646,0,1,1,-1-1-1,110,110,111,00-1
1,2065,1,1,1,-1-1-1,110,110,110,00-1
1,2180,1,1,1,-1-1-1,000,110,111,000
1,1814,1,1,1,-1-1-1,110,110,111,000
1,1740,1,1,1,-1-1-1,111,111,111,11-1
1,1682,1,1,1,-1-1-1,110,110,111,00-1
1,1844,1,1,1,-1-1-1,110,110,111,000
1,1312,0,1,1,-1-1-1,110,110,111,000
0,1690,0,1,1,-1-1-1,110,110,111,000
1,1445,1,1,1,-1-1-1,110,110,111,10-1
1,2185,1,1,1,-1-1-1,110,110,111,10-1
1,1577,1,1,1,-1-1-1,110,110,111,000
1,1545,0,1,1,-1-1-1,000,110,111,000
0,1510,0,1,1,-1-1-1,000,110,111,000
0,1510,0,1,1,-1-1-1,000,110,111,000
0,1510,0,1,1,-1-1-1,000,110,111,000
0,1095,0,1,1,-1-1-1,110,110,111,00-1
0,940,0,0,0,-1-1-1,000,000,110,000
1,2090,1,1,1,-1-1-1,110,110,111,100
1,1635,1,1,1,-1-1-1,110,110,111,100
1,2040,1,1,1,-1-1-1,110,110,111,100
1,1530,1,1,1,-1-1-1,110,111,111,10-1
1,1243,0,1,1,-1-1-1,000,110,111,000
1,2220,0,1,1,-1-1-1,110,110,111,00-1
1,1314,0,1,1,-1-1-1,110,110,111,000
1,1489,0,1,1,-1-1-1,110,110,111,00-1
1,1212,0,1,1,-1-1-1,110,110,111,000
0,1164,0,1,0,-1-1-1,110,110,111,00-1
1,1316,0,1,1,-1-1-1,000,110,111,000
0,1164,0,1,0,-1-1-1,110,110,111,00-1
0,1164,0,1,0,-1-1-1,110,110,111,00-1
1,1480,1,1,1,-1-1-1,110,110,111,000
1,1852,0,1,1,-1-1-1,110,110,111,100
0,1484,0,1,0,-1-1-1,110,110,111,000
0,1216,0,1,1,-1-1-1,000,110,111,000
1,2162,1,1,1,-1-1-1,000,110,111,110
1,1243,0,1,1,-1-1-1,000,110,111,000
1,1678,0,1,1,-1-1-1,110,110,111,100
1,2460,1,1,1,-1-1-1,111,111,111,000
0,1709,0,1,0,-1-1-1,000,110,110,100
1,1313,0,1,1,-1-1-1,110,110,111,00-1
1,2518,0,1,1,-1-1-1,111,111,111,010
1,1420,0,1,1,-1-1-1,110,110,111,100
1,1555,1,1,1,-1-1-1,110,110,111,100
0,1055,0,1,1,-1-1-1,000,110,111,000
1,1530,1,1,1,-1-1-1,110,110,111,10-1
0,1906,0,1,1,-1-1-1,110,110,111,10-1
1,1105,0,1,1,-1-1-1,110,110,111,00-1
1,1495,1,1,1,-1-1-1,11-1,11-1,11-1,10-1
1,1312,0,1,1,-1-1-1,110,110,111,000
1,1395,0,1,1,-1-1-1,110,110,111,100
1,2495,0,1,1,-1-1-1,110,110,111,100
1,1728,0,1,1,-1-1-1,110,110,111,000
1,1156,0,1,1,-1-1-1,000,110,111,00-1
0,1199,0,1,0,-1-1-1,000,111,111,000
0,1240,0,1,0,-1-1-1,110,110,111,000
1,1405,0,1,1,-1-1-1,110,110,111,100
1,2235,0,1,1,-1-1-1,110,110,111,100
1,1760,0,1,1,-1-1-1,110,110,111,000
1,1138,0,1,1,-1-1-1,110,110,111,00-1
1,2565,0,1,1,-1-1-1,110,110,111,000
1,1580,0,1,1,-1-1-1,110,110,111,110
1,1346,0,1,1,-1-1-1,110,110,111,100
1,1400,0,1,1,-1-1-1,110,110,111,100
1,1730,0,1,1,-1-1-1,110,110,111,100
1,1204,0,1,1,-1-1-1,-1-1-1,110,111,00-1
0,1495,0,1,1,-1-1-1,000,110,111,000
1,1956,1,1,1,-1-1-1,000,110,111,000
1,1612,0,1,1,-1-1-1,000,110,111,000
1,2451,0,1,1,-1-1-1,110,110,111,110
1,1524,0,1,1,-1-1-1,000,110,111,100
1,1175,0,1,0,110,110,110,111,000
1,1294,0,1,0,110,110,110,111,00-1
1,1500,0,1,0,110,110,110,111,000
0,1513,1,1,0,000,000,110,111,000
1,1294,0,1,0,110,110,110,111,00-1
1,1675,0,1,0,110,111,111,111,10-1
1,1175,0,1,0,110,110,110,111,000
1,1599,0,1,1,1-1-1,000,110,111,000
0,1230,0,1,0,000,110,110,111,00-1
0,1111,0,0,0,000,110,110,111,000
1,1767,0,1,0,11-1,000,110,111,000
1,2573,1,1,0,11-1,000,111,111,00-1
0,970,0,0,0,00-1,000,110,111,000
0,1328,0,1,0,00-1,000,110,111,000
1,1842,1,1,0,11-1,111,111,111,10-1
1,2020,1,1,0,11-1,11-1,11-1,111,10-1
1,2480,1,1,1,11-1,000,110,111,100
0,1840,0,1,0,11-1,110,110,111,000
1,1503,0,1,1,11-1,000,110,111,000
0,1563,0,0,0,00-1,000,110,110,00-1
1,1199,0,1,0,00-1,110,110,111,000
